Epoch,Deep model train accuracy,Deep model test accuracy,Base model train accuracy,Base model test accuracy
1,0.35194000601768494,0.10040000081062317,0.5342000126838684,0.6029000282287598
2,0.46744000911712646,0.22609999775886536,0.6367200016975403,0.6169000267982483
3,0.5345399975776672,0.2924000024795532,0.6666799783706665,0.6323999762535095
4,0.5836600065231323,0.5891000032424927,0.6879000067710876,0.64410001039505
5,0.6226800084114075,0.6917999982833862,0.7041000127792358,0.6531000137329102
6,0.6575599908828735,0.7258999943733215,0.7179800271987915,0.6499999761581421
7,0.6788600087165833,0.7156000137329102,0.7294999957084656,0.6453999876976013
8,0.698199987411499,0.7300000190734863,0.7397199869155884,0.6338000297546387
9,0.7120400071144104,0.7143999934196472,0.750819981098175,0.6420999765396118
10,0.7260000109672546,0.7386000156402588,0.7563999891281128,0.633899986743927
11,0.7393199801445007,0.7542999982833862,0.767300009727478,0.6312000155448914
12,0.7465999722480774,0.7727000117301941,0.7750200033187866,0.6431999802589417
13,0.7531999945640564,0.7213000059127808,0.7800599932670593,0.6348000168800354
14,0.7603600025177002,0.7821000218391418,0.7872800230979919,0.6341000199317932
15,0.7705199718475342,0.7943999767303467,0.7932199835777283,0.6273000240325928
16,0.7764800190925598,0.7860000133514404,,
17,0.7831199765205383,0.786899983882904,,
18,0.7912999987602234,0.785099983215332,,
19,0.7950400114059448,0.8058000206947327,,
20,0.7977200150489807,0.8098999857902527,,
21,0.8006399869918823,0.8033000230789185,,
22,0.8072400093078613,0.8001000285148621,,
23,0.8099600076675415,0.8209999799728394,,
24,0.8143200278282166,0.8027999997138977,,
25,0.819599986076355,0.8263999819755554,,
26,0.8216999769210815,0.8033999800682068,,
27,0.8236200213432312,0.8294000029563904,,
28,0.8276200294494629,0.8141999840736389,,
29,0.83160001039505,0.807200014591217,,
30,0.8333600163459778,0.8169000148773193,,
31,0.83433997631073,0.7936999797821045,,
32,0.8388400077819824,0.83160001039505,,
33,0.8383399844169617,0.8296999931335449,,
34,0.840179979801178,0.8373000025749207,,
35,0.8458999991416931,0.8442999720573425,,
36,0.8457199931144714,0.8334000110626221,,
37,0.8466200232505798,0.8210999965667725,,
38,0.8465800285339355,0.823199987411499,,
39,0.8509799838066101,0.8367000222206116,,
40,0.8515400290489197,0.8481000065803528,,
41,0.8546199798583984,0.8406000137329102,,
42,0.8541799783706665,0.8335000276565552,,
43,0.8577600121498108,0.8399999737739563,,
44,0.8580399751663208,0.8327000141143799,,
45,0.8585799932479858,0.8432999849319458,,
